Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
128,Success,17,18,0,0,7.99,0.036,0.201,0.064,0.473,1.58,0.877,,4.759,,,,,,,,,,,,,,,,,,,,,,,,
129,Success,17,17,1,1,7.524,0.013,0.271,0.095,0.484,2.815,3.846,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Success,18,17,1,1,7.639,0.038,0.197,0.067,0.378,0.13,3.581,3.247,,,,,,,,,,,,,,,,,,,,,,,,,
131,Success,17,18,3,0,12.193,0.025,0.258,0.081,0.467,5.677,0.958,,4.727,,,,,,,,,,,,,,,,,,,,,,,,
132,Success,18,19,0,1,20.674,0.023,0.242,0.041,0.524,0.075,1.05,3.157,2.085,,13.477,,,,,,,,,,,,,,,,,,,,,,
133,Success,16,20,1,0,36.348,0.004,0.195,0.887,0.395,,1.128,,2.283,,6.172,,25.283,,,,,,,,,,,,,,,,,,,,
134,Success,18,19,0,1,20.634,0.008,0.244,0.034,0.53,0.211,0.981,3.314,2.338,,12.975,,,,,,,,,,,,,,,,,,,,,,
135,Success,18,18,5,3,42.669,0.01,0.237,0.018,0.462,0.069,0.968,27.234,13.672,,,,,,,,,,,,,,,,,,,,,,,,
136,Success,18,18,1,1,12.118,0.021,0.202,0.077,0.385,0.144,0.852,3.255,7.183,,,,,,,,,,,,,,,,,,,,,,,,
137,Success,18,20,4,1,58.677,0.01,0.207,0.045,0.407,0.097,0.881,13.276,1.878,,5.169,,36.708,,,,,,,,,,,,,,,,,,,,
138,Success,20,20,1,0,54.362,0.059,0.204,0.044,0.443,0.273,0.898,0.564,2.188,1.147,6.136,16.522,25.883,,,,,,,,,,,,,,,,,,,,
139,Success,19,17,3,1,17.768,0.005,0.219,0.055,0.423,0.064,2.502,0.124,,14.377,,,,,,,,,,,,,,,,,,,,,,,
140,Success,18,23,0,1,670.469,0.051,0.213,0.172,0.438,0.326,0.922,3.084,2.13,,5.933,,13.318,,30.708,,77.467,,535.707,,,,,,,,,,,,,,
141,Success,17,17,2,0,6.007,0.031,0.2,0.075,0.416,2.919,2.365,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Success,16,20,1,0,37.022,0.03,0.218,0.882,0.542,,1.075,,2.391,,6.221,,25.663,,,,,,,,,,,,,,,,,,,,
143,Success,16,18,0,1,9.837,0.019,0.228,0.848,0.523,,1.115,,7.104,,,,,,,,,,,,,,,,,,,,,,,,
144,Success,18,19,3,1,22.025,0.006,0.21,0.071,0.42,0.213,0.888,6.797,1.835,,11.586,,,,,,,,,,,,,,,,,,,,,,
145,Success,19,17,3,1,20.249,0.05,0.211,0.013,0.433,0.319,3.585,0.615,,15.023,,,,,,,,,,,,,,,,,,,,,,,
146,Success,19,17,0,0,10.246,0.008,0.195,0.013,0.555,0.087,2.364,0.644,,6.381,,,,,,,,,,,,,,,,,,,,,,,
147,Success,20,18,0,1,26.106,0.013,0.206,0.057,0.424,0.256,0.875,0.678,7.188,1.393,,15.016,,,,,,,,,,,,,,,,,,,,,
148,Success,20,19,2,1,37.135,0.033,0.209,0.153,0.406,0.276,0.837,0.545,2.573,1.099,11.904,19.099,,,,,,,,,,,,,,,,,,,,,
149,Success,18,18,1,0,11.73,0.023,0.193,0.058,0.382,0.106,0.816,5.409,4.743,,,,,,,,,,,,,,,,,,,,,,,,
150,Success,18,19,0,1,19.344,0.006,0.241,0.138,0.546,0.143,1.147,3.13,2.296,,11.697,,,,,,,,,,,,,,,,,,,,,,
151,Success,19,19,0,0,21.276,0.015,0.208,0.027,0.409,0.05,0.988,0.431,2.04,6.449,10.658,,,,,,,,,,,,,,,,,,,,,,
152,Success,17,18,2,0,8.409,0.02,0.218,0.035,0.48,1.95,1.03,,4.675,,,,,,,,,,,,,,,,,,,,,,,,
153,Success,18,16,0,1,5.874,0.104,0.19,0.191,1.914,0.354,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,
154,Success,21,19,1,0,60.233,0.013,0.203,0.122,0.413,0.143,0.972,0.277,2.001,1.105,11.281,2.486,,41.219,,,,,,,,,,,,,,,,,,,
155,Success,16,17,1,1,4.213,0.021,0.248,0.941,0.554,,2.449,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Success,17,16,1,1,4.307,0.01,0.201,0.02,1.313,2.763,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Success,18,20,2,1,51.878,0.051,0.206,0.168,0.421,0.323,0.915,5.73,1.872,,5.284,,36.908,,,,,,,,,,,,,,,,,,,,
158,Success,17,18,1,3,17.247,0.033,0.239,0.111,0.571,1.659,1.144,,13.489,,,,,,,,,,,,,,,,,,,,,,,,
159,Success,21,19,2,0,65.668,0.012,0.197,0.035,0.415,0.104,0.856,0.213,1.756,0.472,10.698,1.102,,49.808,,,,,,,,,,,,,,,,,,,
160,Success,18,18,2,1,14.957,0.008,0.195,0.064,0.413,0.251,0.889,5.868,7.269,,,,,,,,,,,,,,,,,,,,,,,,
161,Success,17,18,2,1,11.984,0.005,0.195,0.061,0.499,2.988,0.995,,7.241,,,,,,,,,,,,,,,,,,,,,,,,
162,Success,18,18,1,0,10.606,0.008,0.284,0.141,0.524,0.256,1.077,3.399,4.917,,,,,,,,,,,,,,,,,,,,,,,,
163,Success,17,18,2,2,9.974,0.023,0.202,0.158,0.384,2.958,0.899,,5.349,,,,,,,,,,,,,,,,,,,,,,,,
164,Success,18,17,0,3,14.652,0.01,0.189,0.021,0.422,0.037,10.828,3.145,,,,,,,,,,,,,,,,,,,,,,,,,
165,Success,18,16,2,1,5.888,0.02,0.194,0.035,1.922,0.077,,3.64,,,,,,,,,,,,,,,,,,,,,,,,,
166,Success,17,18,1,2,12.153,0.051,0.217,0.188,0.425,2.75,1.009,,7.513,,,,,,,,,,,,,,,,,,,,,,,,
167,Success,19,17,3,1,45.455,0.035,0.196,0.061,0.554,0.112,3.576,0.244,,40.677,,,,,,,,,,,,,,,,,,,,,,,
168,Success,20,18,4,0,95.795,0.005,0.217,0.06,0.546,0.128,1.149,0.228,4.805,1.525,,87.132,,,,,,,,,,,,,,,,,,,,,
169,Success,17,17,3,1,9.812,0.005,0.192,0.041,0.484,5.509,3.582,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Success,18,17,1,1,8.286,0.097,0.196,0.178,0.55,0.33,3.592,3.343,,,,,,,,,,,,,,,,,,,,,,,,,
171,Success,17,20,2,0,38.101,0.035,0.205,0.161,0.46,2.883,0.951,,2.288,,5.704,,25.414,,,,,,,,,,,,,,,,,,,,
172,Success,19,19,0,0,21.187,0.025,0.198,0.061,0.405,0.113,0.978,0.217,2.013,6.46,10.717,,,,,,,,,,,,,,,,,,,,,,
173,Success,18,17,0,1,7.506,0.015,0.191,0.03,0.459,0.063,3.628,3.119,,,,,,,,,,,,,,,,,,,,,,,,,
174,Success,19,19,2,0,26.85,0.01,0.202,0.024,0.456,0.052,0.977,0.1,2.387,11.933,10.709,,,,,,,,,,,,,,,,,,,,,,
175,Success,19,18,0,0,13.897,0.055,0.208,0.177,0.416,0.328,0.862,0.631,4.803,6.417,,,,,,,,,,,,,,,,,,,,,,,
176,Success,19,17,1,2,13.859,0.009,0.229,0.077,0.449,0.142,5.954,0.274,,6.725,,,,,,,,,,,,,,,,,,,,,,,
177,Success,17,17,1,0,4.725,0.012,0.2,0.084,0.406,1.64,2.385,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Success,18,16,1,1,5.817,0.031,0.193,0.058,1.914,0.303,,3.318,,,,,,,,,,,,,,,,,,,,,,,,,
179,Success,18,18,0,1,10.353,0.042,0.201,0.134,0.555,0.254,1.169,3.092,4.906,,,,,,,,,,,,,,,,,,,,,,,,
180,Success,19,17,1,1,16.408,0.019,0.205,0.054,0.43,0.105,3.613,0.315,,11.667,,,,,,,,,,,,,,,,,,,,,,,
181,Success,17,18,1,0,9.166,0.008,0.209,0.067,0.418,2.739,1.031,,4.693,,,,,,,,,,,,,,,,,,,,,,,,
182,Success,17,19,0,0,16.469,0.051,0.208,0.09,0.401,1.57,0.931,,2.04,,11.178,,,,,,,,,,,,,,,,,,,,,,
183,Success,18,19,0,0,18.473,0.045,0.203,0.043,0.386,0.08,1.071,3.162,2.181,,11.3,,,,,,,,,,,,,,,,,,,,,,
184,Success,19,17,1,0,10.632,0.038,0.206,0.07,0.49,0.248,2.373,0.491,,6.717,,,,,,,,,,,,,,,,,,,,,,,
185,Success,19,18,1,0,13.805,0.021,0.216,0.063,0.449,0.13,0.915,0.52,4.775,6.716,,,,,,,,,,,,,,,,,,,,,,,
186,Success,18,19,1,0,19.155,0.033,0.267,0.059,0.426,0.149,1.186,3.384,2.371,,11.281,,,,,,,,,,,,,,,,,,,,,,
187,Success,17,20,1,1,38.423,0.044,0.199,0.078,0.456,1.689,0.926,,2.282,,5.984,,26.765,,,,,,,,,,,,,,,,,,,,
188,Success,18,17,1,4,12.15,0.019,0.212,0.117,0.538,0.216,7.753,3.295,,,,,,,,,,,,,,,,,,,,,,,,,
189,Success,19,16,0,1,8.984,0.021,0.226,0.041,1.907,0.082,,0.231,,6.476,,,,,,,,,,,,,,,,,,,,,,,
190,Success,18,18,1,0,10.499,0.01,0.202,0.025,0.537,0.36,1.143,3.399,4.822,,,,,,,,,,,,,,,,,,,,,,,,
191,Success,21,19,2,1,97.903,0.025,0.209,0.044,0.423,0.151,0.868,0.291,1.766,0.605,15.575,1.36,,76.584,,,,,,,,,,,,,,,,,,,
192,Success,19,22,0,0,233.362,0.008,0.21,0.16,0.525,0.31,1.073,0.597,2.157,6.375,5.27,,13.18,,30.24,,173.257,,,,,,,,,,,,,,,,
193,Success,17,20,1,2,72.671,0.057,0.209,0.1,0.503,1.639,1.04,,2.178,,5.617,,61.329,,,,,,,,,,,,,,,,,,,,
194,Success,16,19,0,1,15.826,0.008,0.203,0.852,0.472,,0.886,,1.868,,11.537,,,,,,,,,,,,,,,,,,,,,,
195,Success,17,19,1,1,17.997,0.021,0.216,0.067,0.445,2.74,0.989,,1.977,,11.54,,,,,,,,,,,,,,,,,,,,,,
196,Success,16,17,2,2,8.303,0.002,0.195,1.6,0.488,,6.018,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Success,18,18,1,0,11.992,0.01,0.196,0.098,0.373,0.181,0.831,5.506,4.797,,,,,,,,,,,,,,,,,,,,,,,,
