Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
179,Success,19,18,0,1,13.392,0.013,0.189,0.08,0.367,0.167,0.767,0.47,4.847,6.492,,,,,,,,,,,,,,,,,,,,,,,
180,Success,19,18,1,1,21.43,0.004,0.193,0.017,0.379,0.123,0.933,0.326,7.916,11.538,,,,,,,,,,,,,,,,,,,,,,,
181,Success,20,20,1,0,70.553,0.013,0.189,0.057,0.395,0.119,1.08,0.564,1.648,1.139,7.809,25.92,31.62,,,,,,,,,,,,,,,,,,,,
182,Success,18,21,0,0,104.047,0.011,0.196,0.033,0.395,0.277,0.802,3.094,1.769,,8.895,,18.875,,69.698,,,,,,,,,,,,,,,,,,
183,Success,18,20,0,0,46.829,0.017,0.194,0.04,0.376,0.098,0.806,3.097,1.57,,9.165,,31.467,,,,,,,,,,,,,,,,,,,,
184,Success,19,18,1,0,15.646,0.015,0.201,0.066,0.491,0.235,0.988,0.468,5.737,7.444,,,,,,,,,,,,,,,,,,,,,,,
185,Success,19,19,1,0,24.868,0.009,0.207,0.07,0.374,0.13,0.874,0.496,1.783,7.158,13.766,,,,,,,,,,,,,,,,,,,,,,
186,Success,19,19,1,0,25.519,0.01,0.187,0.051,0.379,0.107,1.123,0.21,1.98,7.453,14.02,,,,,,,,,,,,,,,,,,,,,,
187,Success,20,22,1,1,336.758,0.018,0.199,0.032,0.456,0.147,0.869,0.165,1.826,0.787,11.119,17.61,24.176,,43.888,,235.466,,,,,,,,,,,,,,,,
188,Success,18,18,1,4,20.469,0.017,0.206,0.044,0.427,0.21,1.047,3.268,15.25,,,,,,,,,,,,,,,,,,,,,,,,
189,Success,19,19,0,1,28.875,0.017,0.228,0.041,0.387,0.075,0.809,0.144,1.753,7.128,18.294,,,,,,,,,,,,,,,,,,,,,,
190,Success,19,18,1,0,16.781,0.012,0.257,0.021,0.56,0.052,1.234,0.713,6.092,7.841,,,,,,,,,,,,,,,,,,,,,,,
191,Success,21,18,2,1,88.287,0.012,0.209,0.021,0.414,0.115,1.066,0.291,7.282,0.584,,1.317,,76.976,,,,,,,,,,,,,,,,,,,
192,Success,18,24,0,0,1274.184,0.01,0.19,0.066,0.405,0.302,0.882,3.089,1.797,,6.039,,14.125,,45.659,,105.493,,237.25,,858.877,,,,,,,,,,,,
193,Success,18,21,1,2,187.419,0.008,0.192,0.047,0.401,0.32,1.007,3.252,2.039,,5.57,,12.701,,161.882,,,,,,,,,,,,,,,,,,
194,Success,17,20,0,1,38.827,0.013,0.187,0.023,0.44,1.575,0.871,,2.24,,6.003,,27.476,,,,,,,,,,,,,,,,,,,,
195,Success,19,18,1,1,18.594,0.021,0.204,0.038,0.43,0.124,0.824,0.24,4.98,11.733,,,,,,,,,,,,,,,,,,,,,,,
196,Success,17,18,2,2,16.878,0.002,0.26,0.09,0.403,3.069,1.106,,11.948,,,,,,,,,,,,,,,,,,,,,,,,
197,Success,19,20,1,0,57.816,0.004,0.198,0.02,0.404,0.173,0.845,0.334,2.501,11.937,5.933,,35.466,,,,,,,,,,,,,,,,,,,,
198,Success,19,19,1,0,27.323,0.008,0.19,0.014,0.372,0.025,0.836,0.599,3.285,6.75,15.246,,,,,,,,,,,,,,,,,,,,,,
199,Success,18,19,0,4,64.67,0.011,0.186,0.083,0.387,0.154,0.833,3.143,1.618,,58.254,,,,,,,,,,,,,,,,,,,,,,
200,Success,19,18,1,2,18.734,0.011,0.201,0.05,0.381,0.081,0.806,0.468,5.287,11.449,,,,,,,,,,,,,,,,,,,,,,,
201,Success,21,19,0,1,56.089,0.017,0.213,0.03,0.394,0.055,0.941,0.156,2.162,0.313,11.545,0.734,,39.529,,,,,,,,,,,,,,,,,,,
202,Success,19,18,1,0,14.229,0.01,0.196,0.02,0.438,0.205,0.896,0.686,4.837,6.94,,,,,,,,,,,,,,,,,,,,,,,
203,Success,19,17,2,1,27.732,0.002,0.201,0.103,0.402,0.325,3.529,0.612,,22.558,,,,,,,,,,,,,,,,,,,,,,,
204,Success,18,18,0,4,45.439,0.008,0.189,0.033,0.414,0.093,0.844,3.11,40.749,,,,,,,,,,,,,,,,,,,,,,,,
205,Success,17,18,2,2,17.111,0.01,0.205,0.041,0.406,2.959,1.004,,12.486,,,,,,,,,,,,,,,,,,,,,,,,
206,Success,17,19,1,0,22.192,0.006,0.203,0.027,0.458,2.707,0.979,,1.989,,15.825,,,,,,,,,,,,,,,,,,,,,,
207,Success,17,17,2,1,5.982,0.012,0.186,0.061,0.397,2.925,2.401,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Success,18,19,2,3,34.35,0.012,0.19,0.03,0.367,0.161,0.862,5.924,1.763,,25.041,,,,,,,,,,,,,,,,,,,,,,
209,Success,18,19,0,0,18.736,0.004,0.192,0.034,0.378,0.056,1.173,3.17,2.311,,11.418,,,,,,,,,,,,,,,,,,,,,,
210,Success,19,20,0,0,46.267,0.019,0.189,0.024,0.42,0.204,0.855,0.394,1.869,6.538,7.742,,28.013,,,,,,,,,,,,,,,,,,,,
211,Success,17,19,3,0,23.205,0.005,0.199,0.14,0.397,3.273,1.068,,2.194,,15.929,,,,,,,,,,,,,,,,,,,,,,
212,Success,18,19,2,1,24.226,0.006,0.222,0.041,0.486,0.083,1.039,3.724,2.034,,16.591,,,,,,,,,,,,,,,,,,,,,,
213,Success,18,20,0,0,38.871,0.006,0.196,0.02,0.51,0.025,0.961,3.088,2.493,,6.136,,25.436,,,,,,,,,,,,,,,,,,,,
214,Success,18,19,0,1,18.947,0.016,0.194,0.036,0.525,0.172,1.109,3.112,2.23,,11.552,,,,,,,,,,,,,,,,,,,,,,
215,Success,19,18,1,1,16.35,0.017,0.203,0.033,0.456,0.171,0.92,0.332,7.463,6.754,,,,,,,,,,,,,,,,,,,,,,,
216,Success,19,19,1,1,22.758,0.006,0.194,0.017,0.412,0.093,0.846,0.196,2.081,6.915,11.998,,,,,,,,,,,,,,,,,,,,,,
217,Success,18,19,0,2,20.185,0.006,0.196,0.085,0.525,0.203,1.138,3.088,2.297,,12.648,,,,,,,,,,,,,,,,,,,,,,
218,Success,22,21,3,1,315.605,0.012,0.195,0.011,0.411,0.191,0.817,0.491,2.142,1.013,5.113,2.215,13.589,6.804,74.005,208.597,,,,,,,,,,,,,,,,,
219,Success,17,20,0,2,72.895,0.017,0.189,0.063,0.431,1.571,0.863,,2.011,,5.509,,62.239,,,,,,,,,,,,,,,,,,,,
220,Success,18,18,0,1,10.098,0.004,0.19,0.207,0.388,0.385,0.961,3.083,4.881,,,,,,,,,,,,,,,,,,,,,,,,
221,Success,20,19,0,6,109.114,0.011,0.195,0.02,0.418,0.295,0.849,0.571,2.014,1.148,88.803,14.791,,,,,,,,,,,,,,,,,,,,,
222,Success,18,18,0,1,12.592,0.011,0.237,0.033,0.482,0.38,0.957,3.129,7.363,,,,,,,,,,,,,,,,,,,,,,,,
223,Success,23,23,1,0,1074.406,0.011,0.2,0.026,0.421,0.2,1.155,0.289,2.325,0.847,7,1.911,23.435,5.701,46.074,12.522,128.7,429.747,413.842,,,,,,,,,,,,,,
224,Success,19,20,3,0,48.582,0.002,0.194,0.196,0.414,0.16,0.848,0.76,1.795,13.618,4.45,,26.143,,,,,,,,,,,,,,,,,,,,
